COD_CLASE;COD_MARCA;DESC_MARC;COD_MODELO;DESC_MODE;COD_PARTE;ID_ELEM;DESC_ELEM;NRO_PIEZA;VALOR;FECHA
901;1;Peugeot;12;*308 5P 12/15;4;34030;PUERTA DEL ESPEJO ELECT MOTOR;660254;56836.75;2023-11-28
901;1;Peugeot;12;*308 5P 12/15;4;34049;PUERTA DEL ESPEJO ELECT EMBELLEC;980193611T;23742.64;2023-11-28
901;1;Peugeot;12;*308 5P 12/15;4;34050;PUERTA DEL ESPEJO ELECT CARCAZA;8152P6;29111.34;2023-11-28
901;1;Peugeot;12;*308 5P 12/15;4;51903;PUERTA DEL ESPEJO ELECTRICO 1;1635684980;242994.61;2023-11-28
901;1;Peugeot;12;*308 5P 12/15;4;69303;PUERTA DEL ESPEJO GIRO;6325G5;7594.57;2023-11-28
901;1;Peugeot;13;*106 QUICKSILVER/S16 3P;3;33853;PUERTA DEL ESPEJO MANUAL C/ CONTROL;8148KP;110653.18;2023-11-28
901;1;Peugeot;13;*106 QUICKSILVER/S16 3P;3;33906;PUERTA DEL ESPEJO ELECTRICO;8148QP;110653.18;2023-11-28
901;1;Peugeot;15;*307 3P 01/06 y 06/11;3;33854;PUERTA DEL ESPEJO MANUAL CRISTAL;8151GZ;27067.45;2023-11-28
901;1;Peugeot;15;*307 3P 01/06 y 06/11;3;33906;PUERTA DEL ESPEJO ELECTRICO;8153F3;211965.39;2023-11-28
901;1;Peugeot;15;*307 3P 01/06 y 06/11;3;33912;PUERTA DEL ESPEJO MANUAL EMBELLEC;815260;13418.23;2023-11-28
901;1;Peugeot;15;*307 3P 01/06 y 06/11;3;33915;PUERTA DEL ESPEJO ELECT MOTOR;660238;65624.75;2023-11-28
901;1;Peugeot;15;*307 3P 01/06 y 06/11;3;33931;PUERTA DEL ESPEJO ELECT CRISTAL;8151HA;41766.61;2023-11-28
901;1;Peugeot;15;*307 3P 01/06 y 06/11;3;33935;PUERTA DEL ESPEJO ELECT EMBELLEC;815260;13418.23;2023-11-28
