COD_CLASE;COD_MARCA;COD_MODELO;COD_PARTE;NRO_PRESU;ID_ELEM;VALOR_MO;VALOR_REPUESTO;CANT_HS_PINT;VALOR_MAT_PINT
901;1;12;2;8039624;6;4.46;316288.69;4.74;31598.09
901;1;12;2;8040048;3;2.24;633174.23;2.77;26300.62
901;1;12;2;8044979;5;4.06;0.00;3.38;30344.51
901;1;12;2;8048375;6;2.39;1066316.99;2.77;26300.62
901;1;12;2;8057564;2;4.22;0.00;4.85;25108.49
901;1;12;2;8060631;4;0.00;0.00;0.00;0.00
901;1;12;2;8063156;14;11.16;1784688.24;7.72;69387.90
901;1;12;2;8064450;5;9.54;988653.85;2.89;35344.70
901;1;12;2;8064487;6;8.60;0.00;5.60;40408.00
901;1;12;2;8068791;5;13.64;988653.85;5.22;42618.35
901;1;12;2;8069976;8;8.04;137483.92;4.23;39091.06
901;1;12;2;8070354;1;0.14;217075.09;0.00;0.00
901;1;12;2;8070934;3;5.61;0.00;5.36;32215.39
901;1;12;2;8072048;19;15.43;3074095.20;11.42;94675.60
901;1;12;2;8073175;2;3.15;0.00;2.32;21095.80
901;1;12;2;8073185;6;6.84;396088.02;4.89;36209.71
901;1;12;2;8075494;4;3.90;217075.09;2.77;25031.41
901;1;12;2;8076103;18;16.63;1975529.28;9.01;78351.66
901;1;12;2;8077429;4;1.51;0.00;1.58;24383.86
901;1;12;2;8078796;1;0.00;0.00;0.24;6475.34
901;1;12;2;8078969;21;15.92;2834236.58;11.37;98197.17
901;1;12;2;8082628;14;12.35;1846822.70;8.22;81102.90
901;1;12;2;8087132;3;5.11;0.00;4.00;30961.81
901;1;12;2;8097321;3;5.11;0.00;4.00;30961.81
901;1;12;2;8097976;1;0.00;0.00;0.00;0.00
901;1;12;2;8099206;9;10.92;995021.38;7.96;56056.70
901;1;12;2;8106462;6;6.22;878227.04;5.43;41460.29
901;1;12;2;8106515;6;7.52;0.00;5.13;37590.48
901;1;12;2;8108653;4;7.10;723671.23;6.05;45612.82
901;1;12;2;8118427;7;7.40;1084557.14;4.55;52210.59
901;1;12;2;8120624;3;7.36;0.00;2.77;16143.16
901;1;12;2;8121667;5;2.24;1058049.45;2.77;26300.62
901;1;12;2;8125567;1;1.96;0.00;1.68;9866.01
901;1;12;2;8127877;2;0.00;0.00;0.00;0.00
901;1;12;2;8129570;2;1.41;0.00;1.06;9248.71
901;1;12;2;8129811;4;5.21;0.00;4.00;30961.81
901;1;12;2;8131253;18;21.41;3748750.12;10.55;90714.41
901;1;12;2;8133769;4;5.71;0.00;5.36;32215.39
901;1;12;2;8140179;2;2.56;0.00;1.68;9866.01
